,rank,artistsong,year,artist,song_title
265,11,dorisday/itsmagic.html,1948,Doris Day,It’s Magic
266,12,gordonjenkins/maybeyoullbethere.html,1948,Gordon Jenkins,Maybe You’ll Be There
267,13,vaughnmonroe/ballerina.html,1948,Vaughn Monroe,Ballerina
268,14,thekingcoletrio/natureboy.html,1948,The King Cole Trio,Nature Boy
269,15,kaykyser/woodywoodpecker.html,1948,Kay Kyser,Woody Woodpecker
270,16,dorisdayandbuddyclark/lovesomebody.html,1948,Doris Day and Buddy Clark,Love Somebody
271,17,graciefields/nowisthehour.html,1948,Gracie Fields,Now Is The Hour
272,18,franciscraig/begyourpardon.html,1948,Francis Craig,Beg Your Pardon
273,19,"kengriffin/youcantbetrue,dear.html",1948,Ken Griffin,"You Can’t Be True, Dear"
274,20,theandrewssisters/toolieooliedoolie.html,1948,The Andrews Sisters,Toolie Oolie Doolie
275,21,dinahshore/buttons&bows.html,1948,Dinah Shore,Buttons & Bows
276,22,peggylee/goldenearrings.html,1948,Peggy Lee,Golden Earrings
277,23,artmooney/babyface.html,1948,Art Mooney,Baby Face
278,24,arthurgodfrey/toofatpolka.html,1948,Arthur Godfrey,Too Fat Polka
279,25,ellafitzgerald/myhappiness.html,1948,Ella Fitzgerald,My Happiness
280,26,perrycomo/because.html,1948,Perry Como,Because
281,27,sammykaye/serenadeofthebells.html,1948,Sammy Kaye,Serenade Of The Bells
282,28,tommydorsey/until.html,1948,Tommy Dorsey,Until
283,29,spikejones/williamtelloverture.html,1948,Spike Jones,William Tell Overture
284,30,frankiecarle/begyourpardon.html,1948,Frankie Carle,Beg Your Pardon
285,31,texbeneke/stlouisbluesmarch.html,1948,Tex Beneke,St. Louis Blues March
286,32,primoscala/underneaththearches.html,1948,Primo Scala,Underneath The Arches
287,33,kaykyser/onaslowboattochina.html,1948,Kay Kyser,On a Slow Boat to China
288,34,sportsmenandmelblanc/woodywoodpecker.html,1948,Sportsmen and Mel Blanc,Woody Woodpecker
289,35,raynoble/illdanceatyourwedding.html,1948,Ray Noble,I’ll Dance at Your Wedding
290,36,freddymartin/thedickey-birdsong.html,1948,Freddy Martin,The Dickey-Bird Song
291,37,russmorganandmiltherth/imlookingoverafourleafclover.html,1948,Russ Morgan and Milt Herth,I’m Looking Over A Four Leaf Clover
292,38,vaughnmonroe/howsoon.html,1948,Vaughn Monroe,How Soon
293,39,jostafford/serenadeofthebells.html,1948,Jo Stafford,Serenade Of The Bells
294,1,vaughnmonroe/ridersinthesky.html,1949,Vaughn Monroe,Riders In The Sky
295,2,frankielaine/thatluckyoldsun.html,1949,Frankie Laine,That Lucky Old Sun
296,3,vicdamone/yourebreakingmyheart.html,1949,Vic Damone,You’re Breaking My Heart
297,4,perrycomo/someenchantedevening.html,1949,Perry Como,Some Enchanted Evening
298,5,jimmywakelyandmargaretwhiting/slippingaround.html,1949,Jimmy Wakely and Margaret Whiting,Slipping Around
299,6,"theandrewssistersandgordonjenkins/icandream,canti.html",1949,The Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I"
300,7,russmorgan/cruisingdowntheriver.html,1949,Russ Morgan,Cruising Down the River
301,8,evelynknight/alittlebirdtoldme.html,1949,Evelyn Knight,A Little Bird Told Me
302,9,frankielaine/muletrain.html,1949,Frankie Laine,Mule Train
303,10,almorgan/jealousheart.html,1949,Al Morgan,Jealous Heart
304,11,thebluebarron/cruisingdowntheriver.html,1949,The Blue Barron,Cruising Down The River
